SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -3.7849717, -4.0137467, 7.9065185, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -3.7430494, -3.3729367, 7.886156, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -3.783774, -3.222017, 7.997549, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -3.8508494, -2.9800663, 7.9508357, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.1598754, -2.8626842, 8.179611, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.3634973, -2.8003998, 8.268247, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.4257817, -2.6926, 8.352091, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.3083997, -2.2685874, 8.607217, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.256895, -1.8517615, 8.960561, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.3670907, -1.6972483, 8.764126, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.4533305, -1.2516757, 8.771313, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.307202, -0.85042083, 8.786883, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.392244, -0.8839586, 8.81563, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.4712973, -0.5461858, 8.795268, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.398233, 0.21440187, 8.512593, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.5335817, -0.039526604, 8.594042, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.6138325, 0.5294169, 8.519779, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.5024395, 0.6611723, 8.353289, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.4377594, 0.7941254, 8.392816, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.4545283, 0.7677743, 8.4982195, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.4449463, 1.1342937, 8.5569105, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.6389856, 1.4097822, 8.461088, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.5814924, 1.0863826, 8.657524, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.674919, 1.5738775, 8.313762, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.531186, 1.4073865, 8.603623, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.745588, 1.6157995, 8.281422, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.7324123, 1.7607305, 8.59524, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.7300167, 1.8757169, 8.322146, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.736006, 1.8864969, 8.431144, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.74439, 1.6673039, 8.592844, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.727621, 1.7415661, 8.392816, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.616228, 1.9583635, 8.30897, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.6030526, 1.8050482, 8.537746, Drinking Water, 
528-19, RWD9.220429.033.G1, Hk, December 7, 2024, 1733575774528, -4.611437, 1.9775279, 8.2395, Drinking Water, 
