SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.141766, -3.1453593, 8.3017845, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.6005142, -3.580152, 8.2934, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.078427, -3.168117, 8.613206, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 5.074976, -2.1919298, 9.515131, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 5.2282915, -2.6279202, 8.962956, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.7240276, -3.0986462, 8.354486, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.213775, -3.1561394, 8.168831, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.7753894, -3.3322124, 8.026296, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.3849144, -3.5813496, 7.7544007, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.2495658, -3.852047, 7.64181, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.3729367, -3.7478406, 7.821476, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.8556404, -3.3106525, 8.42755, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.220962, -3.205248, 8.553317, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3036084, -3.3597612, 8.452704, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.21138, -3.307059, 8.409584, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.163469, -3.231599, 8.396408, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.111964, -3.4064744, 8.204764, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0856133, -3.4795387, 8.11014, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.11436, -3.3992877, 8.167633, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0412955, -3.4364188, 8.1580515, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.9346936, -3.4855278, 8.141282, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.9933846, -3.4699566, 8.2562685, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.023329, -3.45199, 8.264653, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0149446, -3.510681, 8.190392, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.986198, -3.3142457, 8.125711, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0628557, -3.2447748, 8.211951, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2065887, -3.2831035, 8.312564, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2089844, -3.35497, 8.275434, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1706553, -3.3010702, 8.299389, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.061658, -3.2304015, 8.265851, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0412955, -3.1872814, 8.27184, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0640535, -3.1705127, 8.222731, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1263375, -3.174106, 8.280224, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1658645, -3.1621282, 8.264653, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.134722, -3.172908, 8.275434, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.10358, -3.1237993, 8.27184, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.128733, -3.151348, 8.288609, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.13592, -3.2351925, 8.299389, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.151491, -3.3106525, 8.253873, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.163469, -3.2244124, 8.247885, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.097591, -3.1273928, 8.249083, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0892067, -3.109426, 8.214347, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.155084, -3.1717105, 8.233511, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.304806, -3.2028525, 8.286213, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.315586, -3.1585348, 8.3017845, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.313191, -3.194468, 8.295795, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2497087, -3.3274212, 8.22872, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.151491, -3.3837168, 8.105349, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1167555, -3.4639678, 8.053844, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.104778, -3.5274498, 8.029889, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0904045, -3.3166413, 8.09936, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.163469, -3.350179, 8.177216, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2988176, -3.2579503, 8.281422, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.311993, -3.328619, 8.299389, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.280851, -3.3897057, 8.186798, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2772574, -3.41965, 8.081393, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2604885, -3.424441, 8.020307, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3143888, -3.45199, 8.100558, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3143888, -3.35497, 8.125711, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.253302, -3.3358057, 8.148469, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2281485, -3.36575, 8.197577, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.295224, -3.3956945, 8.1856, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2760596, -3.4160566, 8.154458, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2497087, -3.286697, 8.040669, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3191795, -3.366948, 8.055042, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.413804, -3.3034658, 8.094569, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3179817, -3.3346078, 8.124514, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0652514, -3.425639, 8.250279, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.04968, -3.4603744, 8.140084, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2784553, -3.5717676, 8.128107, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.4161997, -3.4340234, 8.113733, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.4161997, -3.2208192, 8.063427, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.458122, -3.2998724, 8.128107, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3407397, -3.4232433, 8.156854, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.134722, -3.3968923, 8.125711, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0257244, -3.5226586, 8.144876, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.0161424, -3.5573943, 8.0730095, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.248511, -3.5130765, 8.165237, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.415002, -3.3573656, 8.192786, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3622994, -3.2603457, 8.138886, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2592907, -3.2339947, 8.112535, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.213775, -3.3154435, 8.225126, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.301213, -3.46277, 8.317355, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2257533, -3.4915166, 8.279026, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.001769, -3.2339947, 8.162842, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 3.8987603, -3.280708, 8.058636, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.066449, -3.2950814, 8.108942, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.171853, -3.216028, 8.202369, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2509065, -3.135777, 8.252675, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3347507, -3.024384, 8.2395, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3575087, -2.9944396, 8.316157, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2616863, -3.1285903, 8.316157, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.139513, -3.189677, 8.237104, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.097591, -3.2148304, 8.199973, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2005997, -3.142964, 8.233511, Sitting, 
